Date,MSCI ACWI Monthly_Return,CSV,VIX Index,Turbulence Index
31/12/1999,0.0832,0.20777189,24.64,23.80993272
31/01/2000,-0.0545,0.162433775,24.95,10.31087223
29/02/2000,0.0033,0.179982716,23.37,17.27241318
31/03/2000,0.0664,0.170786177,24.11,14.33491461
30/04/2000,-0.0446,0.129364715,26.2,8.342744087
31/05/2000,-0.0249,0.150569699,23.65,9.279616864
30/06/2000,0.0341,0.144761192,19.54,9.681670113
31/07/2000,-0.0296,0.121703559,20.74,72.33059913
31/08/2000,0.0315,0.122058554,16.84,5.391484387
30/09/2000,-0.0549,0.11657213,20.57,11.49207927
31/10/2000,-0.02,0.131334512,23.63,7.268413657
30/11/2000,-0.062,0.144645888,29.65,9.114666083
31/12/2000,0.0163,0.141085765,26.85,11.0365359
31/01/2001,0.0255,0.208769413,22.02,11.21582195
28/02/2001,-0.0839,0.136292342,28.35,8.919066699
31/03/2001,-0.0672,0.125936676,28.64,6.87063121
30/04/2001,0.073,0.141078371,25.48,9.537192268
31/05/2001,-0.0109,0.127040876,22.64,4.441246485
30/06/2001,-0.0303,0.104225213,19.06,5.409582806
31/07/2001,-0.0157,0.127213372,21.62,7.636357211
31/08/2001,-0.0458,0.116240984,24.92,5.365905719
30/09/2001,-0.0914,0.128243082,31.93,15.6787544
31/10/2001,0.0214,0.153315821,33.56,7.858924939
30/11/2001,0.0617,0.149563512,23.84,11.32732138
31/12/2001,0.0095,0.118006228,23.8,4.859599665
31/01/2002,-0.0274,0.129261087,21.09,9.516874555
28/02/2002,-0.0074,0.114172768,21.59,6.729364254
31/03/2002,0.0453,0.111592519,17.4,7.177032673
30/04/2002,-0.0317,0.119117477,21.91,8.839735945
31/05/2002,0.0014,0.11652679,19.98,9.065058242
30/06/2002,-0.0609,0.106894601,25.4,9.078129326
31/07/2002,-0.0838,0.12459933,32.03,14.61226981
31/08/2002,0.0027,0.112262934,32.64,7.701719618
30/09/2002,-0.1096,0.221960775,39.69,9.082990986
31/10/2002,0.0736,0.165979056,31.14,27.50742506
30/11/2002,0.0547,0.154446785,27.5,16.586556
31/12/2002,-0.0474,0.210812867,28.62,7.050172933
31/01/2003,-0.0292,0.108281932,31.17,7.059967585
28/02/2003,-0.0171,0.098558464,29.63,4.989322213
31/03/2003,-0.0042,0.100499259,29.15,5.225292352
30/04/2003,0.0894,0.141973186,21.21,15.56130491
31/05/2003,0.0583,0.115456363,19.47,11.63126158
30/06/2003,0.0193,0.093834798,19.52,8.28960216
31/07/2003,0.0222,0.092010019,19.49,8.937363386
31/08/2003,0.0238,0.098580463,18.63,7.909229724
30/09/2003,0.0065,0.089757419,22.72,7.705425787
31/10/2003,0.0607,0.096767358,16.1,7.874280899
30/11/2003,0.0153,0.079684967,16.32,4.563746495
31/12/2003,0.0637,0.093829598,18.31,7.015252642
31/01/2004,0.017,0.091798177,16.63,6.302026755
29/02/2004,0.0184,0.076077349,14.55,4.437903756
31/03/2004,-0.0053,0.128955658,16.74,9.650405986
30/04/2004,-0.023,0.081303767,17.19,6.731460335
31/05/2004,0.0085,0.078174022,15.5,3.251037749
30/06/2004,0.0203,0.067385885,14.34,4.736986051
31/07/2004,-0.0317,0.079780707,15.32,4.779419064
31/08/2004,0.0066,0.072428752,15.29,3.120832153
30/09/2004,0.0212,0.116480077,13.34,4.528359979
31/10/2004,0.0246,0.075348976,16.27,4.031441439
30/11/2004,0.055,0.07829135,13.24,7.515491218
31/12/2004,0.0392,0.068561895,13.29,4.176881434
31/01/2005,-0.0211,0.076044085,12.82,4.207365107
28/02/2005,0.0351,0.080088515,12.08,4.254007147
31/03/2005,-0.0215,0.069232156,14.02,4.807588017
30/04/2005,-0.0214,0.071767899,15.31,7.04639058
31/05/2005,0.0195,0.075257052,13.29,6.40317809
30/06/2005,0.0106,0.068302357,12.04,5.608689097
31/07/2005,0.0373,0.076091972,11.57,5.857548234
31/08/2005,0.0082,0.080550903,12.6,6.743676048
30/09/2005,0.0304,0.09344472,11.92,9.973449414
